title,supplier_name,location,raw_price,numeric_price,currency,price_unit,description,image_url,product_url,source_url,category,marketplace,price_outlier,standardized_unit,extracted_state
Table Fan,,,,,INR,,,https://5.imimg.com/data5/IS/RQ/GLADMIN-27311788/table-fan-250x250.png,https://www.indiamart.com/products.html,https://www.indiamart.com/electronics-electrical/,electronics,IndiaMART,False,,
Copper Winding Wire,,,,,INR,,,https://5.imimg.com/data5/SELLER/Default/2024/1/373716040/XB/CS/IK/2942250/elektrisola-34-to-50-gauge-copper-winding-wire-250x250.png,https://www.indiamart.com/copper-winding-wire-litz-wire.html,https://www.indiamart.com/electronic-components/,electronics,IndiaMART,False,,
